Description,Price,Rating,Review,Size,Discount,Price Before Discount
Lenovo Ideapad Slim 5i Core i5 11th Gen - (8 GB/1 TB HD...,"₹65,990",4.3,(158),"15.6 inch, Graphite Grey, 1.66 kg, With MS Office",33% off,"₹99,290"
ASUS Vivobook 15 Core i3 10th Gen - (4 GB/1 TB HDD/Wind...,"₹33,490",4.1,(30),"15.6 inch, Transparent Silver, 1.9 kg",18% off,"₹40,990"
Lenovo Thinkbook Core i5 11th Gen - (8 GB/512 GB SSD/Wi...,"₹67,990",No rating available,No review available,"15 inch, Mineral grey, 1.7 kg, With MS Office",40% off,"₹1,15,167"
DELL G15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10...,"₹66,290",4.4,(84),"15.6 inches, Dark Shadow Grey, 2.4 kg, With MS Office",15% off,"₹78,324"
Avita PURA APU Dual Core A6 9220e - (8 GB/256 GB SSD/Wi...,"₹21,490",3.7,(264),"14 inches, Ink Black, 1.34 kg",35% off,"₹33,490"
DELL Inspiron Core i3 11th Gen - (8 GB/256 GB SSD/Windo...,"₹52,990",4.3,(250),"14 inches, Platinum Silver, 1.56 kg, With MS Office",23% off,"₹69,695"
HP Pavilion Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/...,"₹58,990",4.5,(16),"14 inch, Natural Silver, 1.41 Kg, With MS Office",13% off,"₹67,931"
ASUS ROG Strix Ryzen 9 Octa Core 5900HX - (16 GB/1 TB S...,"₹1,40,990",4.7,(24),"15.6 inch, Eclipse Gray, 2.30 kg",23% off,"₹1,83,990"
APPLE MacBook Pro M1 - (8 GB/256 GB SSD/Mac OS Big Sur)...,"₹1,09,990",4.7,(435),"13.3 inch, Silver, 1.4 kg",10% off,"₹1,22,900"
MSI GF65 Thin Hexa Core i5 10th Gen - (16 GB/512 GB SSD...,"₹74,990",4.6,(530),"15.6 inch, Black, 1.86 KG",25% off,"₹99,990"
HP Pavilion Gaming Ryzen 5 Hexa Core 4600H - (8 GB/1 TB...,"₹53,990",4.3,(761),"15.6 inch, Shadow Black, 2.04 kg",20% off,"₹68,192"
Lenovo IdeaPad 1 Celeron Dual Core 4th Gen - (4 GB/256 ...,"₹25,990",3.9,(36),"11.6 inch, Platinum Grey, 1.2 kg, With MS Office",37% off,"₹41,890"
DELL Inspiron Core i5 11th Gen - (4 GB/1 TB HDD/256 GB ...,"₹54,990",4.2,(78),"15.6 inch, Softmint, 1.83 kg, With MS Office",3% off,"₹57,082"
APPLE MacBook Pro Core i9 9th Gen - (16 GB/1 TB SSD/Mac...,"₹2,15,990",4.7,(125),"16 inch, Space Grey, 2 kg",9% off,"₹2,39,900"
Lenovo Thinkbook Core i3 11th Gen - (8 GB/512 GB SSD/Wi...,"₹47,990",4.6,(7),"15 inch, Mineral Grey, 1.7 kg",34% off,"₹72,850"
DELL Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10) In...,"₹52,490",4.4,(51),"14 Inch, Platinum Silver, 1.56 kg, With MS Office",27% off,"₹72,246"
HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home)...,"₹48,290",4.3,(935),"15.6 inch, Natural Silver, 1.75 Kg, With MS Office",7% off,"₹52,324"
DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Wind...,"₹69,990",4.2,(36),"14 inches, Platinum Silver, 1.5 kg, With MS Office",22% off,"₹89,849"
Lenovo Thinkbook Convertible Core i7 11th Gen - (16 GB/...,"₹1,07,990",No rating available,No review available,"14 inch, Mineral Grey, 1.5 kg, With MS Office",1% off,"₹1,09,696"
HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home)...,"₹41,490",4.2,(921),"15.6 inch, Jet Black, 1.69 Kg, With MS Office",7% off,"₹44,908"
MSI Modern 14 Core i7 11th Gen - (8 GB/512 GB SSD/Windo...,"₹65,990",4.9,(8),"14 inch, Carbon Grey, 1.3 Kg",16% off,"₹78,990"
acer Extensa 15 Core i3 11th Gen - (4 GB/256 GB SSD/Win...,"₹37,890",No rating available,No review available,"15.6 inch, Charcoal Black",31% off,"₹55,000"
HP Pavilion Core i5 11th Gen - (8 GB/512 GB SSD/Windows...,"₹59,990",4.5,(112),"14 Inch, Natural Silver, 1.41 Kg, With MS Office",14% off,"₹69,999"
MSI Modern 14 Core i3 11th Gen - (8 GB/512 GB SSD/Windo...,"₹45,990",4.4,(40),"14 inch, Carbon Grey, 1.3 Kg",17% off,"₹55,990"
ASUS ROG Strix G15 Core i7 10th Gen - (16 GB/512 GB SSD...,"₹79,990",4.6,(353),"15.6 inch, Black Plastic, 2.3 KG",8% off,"₹86,990"
DELL Inspiron Core i3 10th Gen - (8 GB/256 GB SSD/Windo...,"₹41,990",No rating available,No review available,"15.6 inch, Accent Black, 1.85 kg, With MS Office",24% off,"₹55,534"
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"₹1,41,990",4.2,(22),"15.6 inches, Moonlight White, 1.90 kg, With MS Office",25% off,"₹1,89,990"
DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windo...,"₹69,790",4.4,(124),"14 Inch, Platinum Silver, 1.56 KG, With MS Office",9% off,"₹76,960"
HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 1...,"₹51,990",4.4,(99),"15.6 inch, Natural Silver, 1.69 kg, With MS Office",11% off,"₹58,657"
DELL G15 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 1...,"₹95,490",3.4,(5),"15.6 Inch, Dark Shadow Grey, 2.4 kg, With MS Office",21% off,"₹1,21,188"
Lenovo Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB...,"₹99,990",No rating available,No review available,"15.6 inch, Phantom Blue, Shadow Black, 2.4 kg, With MS Office",27% off,"₹1,38,490"
ASUS VivoBook Ultra S14 Core i7 11th Gen - (8 GB + 32 G...,"₹74,990",4.3,(10),"14 inch, Dreamy White, 1.40 Kg, With MS Office",22% off,"₹96,990"
ASUS VivoBook Ultra Ryzen 7 Octa Core 5700U - (8 GB/512...,"₹63,990",4.3,(46),"14 inch, Indie Black, 1.40 kg, With MS Office",5% off,"₹67,551"
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB S...,"₹57,990",4.1,(9),"15.6 inch, Graphite Grey, 1.66 kg, With MS Office",25% off,"₹78,290"
Lenovo Thinkbook Core i5 11th Gen - (8 GB/512 GB SSD/Wi...,"₹67,990",No rating available,No review available,"15 inch, Mineral grey, 1.7 kg, With MS Office",40% off,"₹1,15,167"
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"₹60,990",4.5,"(2,299)","15.6 inch, Black Plastic, 2.3 KG",25% off,"₹81,990"
DELL Vostro Core i3 11th Gen - (8 GB/1 TB HDD/Windows 1...,"₹38,990",3.9,(474),"14 inch, Accent Black, 1.58 kg, With MS Office",10% off,"₹43,726"
acer Aspire Ryzen 3 Dual Core 3250U - (4 GB/256 GB SSD/...,"₹34,990",No rating available,No review available,"15.6 inch, Pure Silver, 1.9 kg",16% off,"₹41,999"
Lenovo Thinkbook Core i7 11th Gen - (16 GB/512 GB SSD/W...,"₹1,40,131",No rating available,No review available,"15 inch, Mineral grey, 1.7 kg, With MS Office",No discount available,No previous price available
DELL G15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Wi...,"₹92,790",4,(3),"15.6 Inch, Phantom Grey, 2.4 kg, With MS Office",20% off,"₹1,16,384"
HP Pavilion x360 Convertible Core i7 11th Gen - (16 GB/...,"₹84,990",4.1,(15),"14 inch, Natural Silver, 1.52 kg, With MS Office",11% off,"₹95,749"
ASUS VivoBook K15 OLED (2021) Ryzen 5 Hexa Core 5500U -...,"₹61,990",4.7,(54),"15.6 inch, Black, 1.80 kg, With MS Office",21% off,"₹78,990"
MSI Bravo Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Wi...,"₹64,990",4.5,(55),"15.6 inch, Black, 2.35 Kg",22% off,"₹83,990"
MSI GP65 Leopard Core i7 10th Gen - (16 GB/1 TB HDD/256...,"₹94,990",4.5,(565),"15.6 inch, Black&Silver, 2.33 kg",34% off,"₹1,45,990"
Lenovo Ideapad Slim 5 Ryzen 7 Octa Core 5700U - (8 GB/5...,"₹62,990",4.5,(51),"14 Inch, Graphite Grey, 1.39 KG, With MS Office",26% off,"₹85,290"
Lenovo IdeaPad 3 Core i5 10th Gen - (8 GB/512 GB SSD/Wi...,"₹53,990",4.3,(7),"15.6 Inch, Platinum Grey, 1.7 kg, With MS Office",22% off,"₹69,890"
acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SS...,"₹54,990",4.5,"(1,883)","15.6 inch, Black, 2.15 kg",38% off,"₹89,000"
HP OMEN 15 Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Wi...,"₹1,19,990",4.6,(85),"15.6 inch, Mica Silver, 2.37 Kg",14% off,"₹1,39,990"
Lenovo Ideapad Slim 5i Core i5 11th Gen - (8 GB/512 GB ...,"₹59,990",4.1,(21),"14 inch, Graphite Grey, 1.39 kg, With MS Office",8% off,"₹65,438"
ASUS ZenBook 13 (2021) OLED Core i5 11th Gen - (16 GB/5...,"₹84,990",4.4,(29),"13.3 inch, Lilac Mist, 1.14 kg, With MS Office",19% off,"₹1,04,990"
ASUS ROG Strix G15 (2021) Advantage Edition Ryzen 9 Oct...,"₹1,54,990",4.6,(113),"15.6 inch, Original Black, 2.50 kg, With MS Office",25% off,"₹2,07,990"
Lenovo IdeaPad 5 Core i5 11th Gen - (16 GB/512 GB SSD/W...,"₹62,990",4.1,(10),"14 inch, Graphite Grey, With MS Office",35% off,"₹97,890"
Lenovo Ideapad Slim 5 Ryzen 7 Octa Core 4700U - (8 GB/5...,"₹57,990",4.4,(406),"14 inch, Graphite Grey, 1.39 kg, With MS Office",4% off,"₹60,990"
HP 14a Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chr...,"₹26,990",3.6,(113),"14 inch, Ceramic White, 1.46 kg",14% off,"₹31,532"
Lenovo Thinkbook Core i3 11th Gen - (8 GB/512 GB SSD/Wi...,"₹47,990",4.6,(7),"15 inch, Mineral Grey, 1.7 kg",34% off,"₹72,850"
HP Core i7 10th Gen - (16 GB + 32 GB Optane/512 GB SSD/...,"₹89,990",4.4,(21),"15.6 inch, Shadow Black, 2.23 Kg, With MS Office",14% off,"₹1,05,618"
ASUS VivoBook Flip 14 (2021) Touch Panel Core i5 11th G...,"₹71,990",4.4,(526),"14 inch, Transparent Silver, 1.50 kg, With MS Office",15% off,"₹84,990"
acer Nitro 5 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/2...,"₹59,990",4.5,(899),"15.6 inch, Obsidian Black, 2.3 kg",40% off,"₹99,999"
Lenovo Thinkbook Convertible Core i7 11th Gen - (16 GB/...,"₹1,07,990",No rating available,No review available,"14 inch, Mineral Grey, 1.5 kg, With MS Office",1% off,"₹1,09,696"
Lenovo Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 ...,"₹78,990",3.7,(3),"15.6 Inch, Black, 1.7 kg, With MS Office",1% off,"₹80,366"
Lenovo Lenovo Legion 5 Pro Ryzen 7 Octa Core 5800H - (1...,"₹1,42,990",5,(4),"16 inch, Storm grey (top), Black (bottom), 2.45 kg, With MS Office",27% off,"₹1,95,890"
DELL G15 Core i5 10th Gen - (16 GB/512 GB SSD/Windows 1...,"₹69,790",4,(18),"15.6 inch, Dark Shadow Grey, 2.4 Kg, With MS Office",31% off,"₹1,01,364"
HP Pavilion Core i5 11th Gen - (8 GB/512 GB SSD/Windows...,"₹59,990",4.5,(112),"14 Inch, Natural Silver, 1.41 Kg, With MS Office",14% off,"₹69,999"
DELL Vostro Core i3 11th Gen - (8 GB/1 TB HDD/Windows 1...,"₹38,990",4.2,(38),"14 inches, Dune, 1.58 kg, With MS Office",23% off,"₹50,963"
Lenovo Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 H...,"₹36,990",4.4,(100),"15 inch, Black, 1.7 kg",24% off,"₹49,096"
acer Swift 3 Core i5 10th Gen - (8 GB/512 GB SSD/Window...,"₹55,990",4.4,(66),"14 inch, Steel Grey, 1.19 kg",31% off,"₹81,999"
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"₹1,41,990",4.2,(22),"15.6 inches, Moonlight White, 1.90 kg, With MS Office",25% off,"₹1,89,990"
HP Envy Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 ...,"₹74,990",4.3,(23),"13.3 inch, Natural Silver, 1.3 kg, With MS Office",27% off,"₹1,03,279"
APPLE MacBook Pro M1 - (8 GB/512 GB SSD/Mac OS Big Sur)...,"₹1,27,990",4.7,(259),"13.3 inch, Silver, 1.4 kg",10% off,"₹1,42,900"
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/...,"₹56,990",4.2,(50),"14 Inch, Arctic Grey, 1.41 KG, With MS Office",32% off,"₹83,890"
Lenovo Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB...,"₹99,990",No rating available,No review available,"15.6 inch, Phantom Blue, Shadow Black, 2.4 kg, With MS Office",27% off,"₹1,38,490"
DELL Inspiron Core i5 11th Gen - (4 GB/1 TB HDD/256 GB ...,"₹54,790",4.3,(14),"15.6 Inch, Accent Black, 1.83 KG, With MS Office",8% off,"₹60,078"
Lenovo V15 Core i3 11th Gen - (4 GB/256 GB SSD/Windows ...,"₹42,990",No rating available,No review available,"15.6 inch, Iron Grey, With MS Office",12% off,"₹49,080"
Lenovo IdeaPad 5 Pro Core i5 11th Gen - (16 GB/512 GB S...,"₹75,990",No rating available,No review available,"14 inch, Storm Grey, 1.38 kg, With MS Office",27% off,"₹1,04,890"
Lenovo Thinkbook Core i5 11th Gen - (8 GB/512 GB SSD/Wi...,"₹67,990",No rating available,No review available,"15 inch, Mineral grey, 1.7 kg, With MS Office",40% off,"₹1,15,167"
acer Aspire Ryzen 5 Hexa Core AMD Ryzen 5-5500U hexa-co...,"₹55,990",4.4,(22),"15.6 inch, Pure Silver, 1.76 kg, With MS Office",13% off,"₹65,000"
HP Pavilion Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/...,"₹58,990",4.5,(16),"14 inch, Natural Silver, 1.41 Kg, With MS Office",13% off,"₹67,931"
ASUS Vivobook 14 Core i3 10th Gen - (4 GB/1 TB HDD/Wind...,"₹31,990",3.6,(18),"14 inch, Slate Grey, 1.6 kg",25% off,"₹42,990"
Lenovo Thinkbook Core i7 11th Gen - (16 GB/512 GB SSD/W...,"₹1,40,131",No rating available,No review available,"15 inch, Mineral grey, 1.7 kg, With MS Office",No discount available,No previous price available
Lenovo Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 H...,"₹38,990",4.7,(9),"15 inch, Black, 1.7 kg, With MS Office",24% off,"₹51,544"
acer Predator Core i7 11th Gen - (16 GB/1 TB SSD/Window...,"₹1,29,990",4.8,(17),"15.6 inches, Abyssal Black, 2.3 kg",13% off,"₹1,49,990"
HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Hom...,"₹40,990",4.2,(893),"15.6 Inch, Jet Black, 1.76 KG, With MS Office",4% off,"₹43,090"
MSI Bravo Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Wi...,"₹64,990",4.5,(55),"15.6 inch, Black, 2.35 Kg",22% off,"₹83,990"
MSI GE75 Raider Core i9 10th Gen - (32 GB/1 TB HDD/512 ...,"₹1,89,990",No rating available,No review available,"17.3 inch, Black, 2.64 kg",32% off,"₹2,79,990"
ASUS VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Win...,"₹45,990",4.7,(6),"14 inch, Orange, Black, 1.5 kg",22% off,"₹58,990"
MSI Katana GF66 Core i7 11th Gen - (16 GB/1 TB SSD/Wind...,"₹94,990",4.4,(14),"15.6 inches, Black, 2.25 kg",19% off,"₹1,17,990"
acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SS...,"₹54,990",4.5,"(1,883)","15.6 inch, Black, 2.15 kg",38% off,"₹89,000"
HP Pavilion Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD...,"₹66,990",4.1,(16),"14 inch, Natural Silver, 1.41 kg, With MS Office",10% off,"₹74,839"
APPLE MacBook Air Core i5 10th Gen - (8 GB/512 GB SSD/M...,"₹1,04,990",4.5,(416),"13.3 inch, Space Grey, 1.29 kg",14% off,"₹1,22,990"
RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 G...,"₹43,990",4.3,(243),"15.6 Inch, Charcoal Gray, 1.8 kg, With MS Office",21% off,"₹55,999"
ASUS ROG Strix G15 (2021) Advantage Edition Ryzen 9 Oct...,"₹1,54,990",4.6,(113),"15.6 inch, Original Black, 2.50 kg, With MS Office",25% off,"₹2,07,990"
Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB/512 GB...,"₹1,03,990",4.2,(13),"15.6 inch, Phantom Blue, 2.4 kg, With MS Office",24% off,"₹1,38,490"
Lenovo Legion 5 Core i7 11th Gen - (16 GB/512 GB SSD/Wi...,"₹1,04,990",No rating available,No review available,"15.6 inch, Phantom Blue, Shadow Black, 2.4 Kg, With MS Office",31% off,"₹1,53,490"
DELL Insprion 3511 Core i3 11th Gen - (8 GB/1 TB HDD/Wi...,"₹42,799",No rating available,No review available,"15.6 inch, Carbon Black, With MS Office",12% off,"₹48,990"
ASUS ROG Zephyrus G14 Ryzen 7 Octa Core 4800HS - (8 GB/...,"₹77,990",4.7,(13),"14 inch, Eclipse Gray, 1.60 Kg",37% off,"₹1,23,990"
DELL Inspiron Core i5 11th Gen - (8 GB/1 TB HDD/256 GB ...,"₹69,150",4.6,(9),"15.6 inches, Platinum Silver, 1.85 kg, With MS Office",20% off,"₹87,281"
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB...,"₹73,990",4.3,(7),"15.6 inch, Shadow Black, 2.25 kg, With MS Office",29% off,"₹1,04,890"
ASUS ASUS TUF Gaming F17 Core i5 11th Gen - (8 GB/512 G...,"₹84,990",4.5,(18),"17.3 inches, Graphite Black, 2.60 kg",19% off,"₹1,05,990"
acer Nitro 5 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/2...,"₹59,990",4.5,(899),"15.6 inch, Obsidian Black, 2.3 kg",40% off,"₹99,999"
acer Travelmate Core i5 11th Gen - (8 GB/1 TB HDD/256 G...,"₹54,990",3.5,(4),"14 inches, Black, 1.68 kg",8% off,"₹60,000"
ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H - (16 GB/1 ...,"₹88,990",4.6,(474),"17.3 inch, Gray Metal, 2.6 kg",23% off,"₹1,15,990"
HP Pavilion x360 Convertible Core i5 11th Gen - (16 GB/...,"₹72,990",4.4,(7),"14 inch, Natural Silver, 1.52 kg, With MS Office",10% off,"₹81,356"
ASUS ROG Strix G15 (2021) Ryzen 9 Octa Core R9-5900HX -...,"₹96,990",4.6,(409),"15.6 inch, Eclipse Grey, 2.10 kg",25% off,"₹1,29,990"
Lenovo ThinkPad E15 Core i5 11th Gen - (8 GB/512 GB SSD...,"₹72,990",4.5,(4),"15.6 Inch, Black, 1.7 kg, With MS Office",5% off,"₹76,915"
ASUS ZenBook Classic Core i5 10th Gen - (8 GB/512 GB SS...,"₹64,990",4.3,(8),"13.3 inch, Icicle Silver, 1.27 kg, With MS Office",34% off,"₹98,990"
MSI Modern 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windo...,"₹49,990",4.5,(710),"14 inch, Carbon Grey, 1.3 kg",12% off,"₹57,240"
HP Pavilion Aero Ryzen 5 Hexa Core 5600U - (16 GB/512 G...,"₹69,990",4.3,(18),"13.3 inch, Natural Silver, 0.97 kg, With MS Office",22% off,"₹89,992"
ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/512 GB SSD...,"₹54,990",4.4,"(1,269)","15.6 inch, Star Black, 2.14 Kg, With MS Office",28% off,"₹76,990"
HP Spectre x360 13 Series Core i5 11th Gen - (8 GB/512 ...,"₹1,01,990",No rating available,No review available,"13.3 inch, Poseidon Blue, 1.27 kg, With MS Office",11% off,"₹1,14,749"
DELL Inspiron Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SS...,"₹69,990",4.4,(151),"14 Inch, Pebble Green, 1.56 KG, With MS Office",21% off,"₹88,627"
lenovo Yoga 7 Core i7 11th Gen Intel EVO - (16 GB/512 G...,"₹99,990",4.7,(53),"14 inch, Slate Grey, 1.43 kg, With MS Office",28% off,"₹1,39,890"
HP Envy 13 x360 Core i7 11th Gen - (16 GB/512 GB SSD/Wi...,"₹1,14,751",No rating available,No review available,"13.3 inch, Pale Gold, 1.30 kg, With MS Office",No discount available,No previous price available
ASUS VivoBook 15 Core i5 10th Gen - (8 GB/1 TB HDD/Wind...,"₹46,990",4,"(2,816)","15.6 inch, Slate Grey, 1.80 kg",16% off,"₹55,990"
ASUS VivoBook Ultra 15 Core i5 11th Gen - (16 GB/1 TB H...,"₹67,990",4.3,(87),"15.6 inch, Transparent Silver, 1.80 Kg, With MS Office",17% off,"₹81,990"
HP Core i5 11th Gen - (8 GB + 32 GB Optane/512 GB SSD/W...,"₹54,990",4.3,(452),"15.6 inch, Jet Black, 1.69 kg, With MS Office",7% off,"₹59,452"
ASUS Zenbook 14 ScreenPad Touch Panel Core i5 11th Gen ...,"₹89,990",5,(3),"14 inch, Pine Grey, 1.29 kg, With MS Office",18% off,"₹1,10,990"
HP HP Envy Core i7 11th Gen - (16 GB/1 TB SSD/Windows 1...,"₹1,23,190",No rating available,No review available,"14 inch, Natural Silver, 1.59 Kg, With MS Office",13% off,"₹1,41,804"
APPLE MacBook Pro with Touch Bar Core i5 10th Gen - (16...,"₹1,58,990",4.7,(172),"13 inch, Space Grey, 1.4 kg",9% off,"₹1,74,900"
Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H - (8 GB/5...,"₹60,990",4.9,(13),"15.6 inch, Onyx Black, 2.2 kg",27% off,"₹83,890"
Lenovo Yoga 7 Core i5 11th Gen - (16 GB/512 GB SSD/Wind...,"₹85,990",4.6,(9),"14 Inch, Slate Grey, 1.43 KG, With MS Office",31% off,"₹1,25,890"
MSI Modern 14 Core i7 11th Gen - (8 GB/512 GB SSD/Windo...,"₹69,990",4.3,(113),"14 inch, Carbon Gray, 1.3 Kg",11% off,"₹78,990"
ASUS ZenBook 13 Core i5 11th Gen - (8 GB/512 GB SSD/Win...,"₹72,990",4.8,(26),"13.3 inch, Lilac Mist, 1.11 kg, With MS Office",26% off,"₹98,990"
acer Swift 5 Core i7 11th Gen Intel EVO - (16 GB/1 TB S...,"₹92,499",4.3,(27),"14 inch, Mist Green, 1.05 kg",26% off,"₹1,24,999"
LG Gram 14 Core i5 10th Gen - (8 GB/256 GB SSD/Windows ...,"₹62,990",4.6,(56),"14 inch, Dark Silver, 0.999 g",36% off,"₹99,000"
HP Pavilion x360 Core i3 11th Gen - (8 GB/512 GB SSD/Wi...,"₹58,190",No rating available,No review available,"14 inch, Natural Silver, 1.52 kg, With MS Office",13% off,"₹66,964"
ASUS Zenbook Flip 13 OLED Touch Panel Core i5 11th Gen ...,"₹90,990",4.2,(5),"13.3 inch, Pine Grey, 1.30 kg, With MS Office",22% off,"₹1,16,990"
HP Pavilion Aero Ryzen 5 Hexa Core 5600U - (16 GB/512 G...,"₹69,990",4.7,(29),"13.3 inches, Pale Rose Gold, 0.97 kg, With MS Office",22% off,"₹89,992"
ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Wi...,"₹54,990",4,(4),"15.6 inch, Transparent Silver, 1.75 kg, With MS Office",21% off,"₹69,990"
HP 14s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 H...,"₹62,990",No rating available,No review available,"14 Inch, Natural Silver, 1.49 KG, With MS Office",19% off,"₹77,996"
ASUS VivoBook S S15 ScreenPad Core i5 11th Gen - (8 GB/...,"₹72,990",4.8,(11),"15.6 inch, Transparent Silver, 1.8 Kg, With MS Office",12% off,"₹82,990"
HP Pavilion Gaming Ryzen 7 Octa Core 4800H - (16 GB/1 T...,"₹77,990",4.4,(433),"15.6 inch, Shadow Black, 2.19 kg, With MS Office",16% off,"₹93,564"
MSI GS66 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 ...,"₹2,09,990",No rating available,No review available,"15.6 inch, Black, 2.1 Kg",11% off,"₹2,35,990"
DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windo...,"₹78,300",No rating available,No review available,"14 inch, Platinum Silver, 1.5 Kg, With MS Office",26% off,"₹1,06,635"
HP Pavilion Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/...,"₹59,999",4.7,(11),"15.6 Inch, Natural Silver, 1.75 Kg, With MS Office",14% off,"₹70,419"
HP Pavilion Core i5 11th Gen - (8 GB/512 GB SSD/Windows...,"₹59,990",4.5,(112),"14 Inch, Natural Silver, 1.41 Kg, With MS Office",14% off,"₹69,999"
ASUS Core i9 10th Gen - (32 GB/1 TB SSD/Windows 10 Home...,"₹2,49,990",No rating available,No review available,"15.6 inch, Celestial Blue, 2.50 kg",23% off,"₹3,26,990"
MSI Bravo Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Wi...,"₹64,990",4.5,(55),"15.6 inch, Black, 2.35 Kg",22% off,"₹83,990"
acer Nitro 5 Ryzen 5 Hexa Core 5600H - (16 GB/1 TB HDD/...,"₹96,990",4.6,(178),"15.6 inch, Black, 2.4 kg",25% off,"₹1,29,990"
Lenovo Thinkbook Core i3 11th Gen - (8 GB/512 GB SSD/Wi...,"₹47,990",4.6,(7),"15 inch, Mineral Grey, 1.7 kg",34% off,"₹72,850"
ASUS Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home...,"₹25,990",3.8,"(3,746)","15.6 inch, Transparent Silver, 1.9 kg",18% off,"₹31,990"
HP OMEN 15 Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Wi...,"₹1,65,990",4.8,(11),"15.6 inch, Mica Silver, 2.37 Kg",5% off,"₹1,75,990"
ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC St...,"₹21,499",4,(145),"15.6 inch, Silver, 1.43 Kg",17% off,"₹25,990"
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"₹1,41,990",4.2,(22),"15.6 inches, Moonlight White, 1.90 kg, With MS Office",25% off,"₹1,89,990"
Lenovo IdeaPad Core i5 11th Gen - (8 GB/512 GB SSD/Wind...,"₹58,990",3.6,(5),"15.6 Inch, Arctic Grey, 1.65 KG, With MS Office",26% off,"₹79,890"
Lenovo Ideapad Flex 5 Core i3 11th Gen - (8 GB/256 GB S...,"₹53,090",4.5,(265),"14 inch, Graphite Grey, 1.5 kg, With MS Office",24% off,"₹69,890"
acer Travelmate Core i3 11th Gen - (8 GB/1 TB HDD/256 G...,"₹45,990",4.2,(13),"14 inches, Black, 1.68 Kg",23% off,"₹60,000"
Lenovo Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB...,"₹99,990",No rating available,No review available,"15.6 inch, Phantom Blue, Shadow Black, 2.4 kg, With MS Office",27% off,"₹1,38,490"
ALIENWARE Core i9 10th Gen - (32 GB/1 TB SSD/Windows 10...,"₹3,19,990",4.6,(10),"15.6 inch, Lunar Light, 2.5 kg, With MS Office",15% off,"₹3,77,798"
HP Pavilion Core i5 10th Gen - (8 GB + 32 GB Optane/512...,"₹69,890",4.2,(5),"15.6 inch, Shadow Black, 2.23 kg",14% off,"₹81,868"
