Description,Price,Rating,Review,Size,Discount,Price Before Discount
DELL Inspiron Ryzen 5 Quad Core 3450U - (8 GB/256 GB SS...,"₹41,990",4.1,(15),"15.6 Inch, Soft Mint, 1.83 KG, With MS Office",19% off,"₹52,283"
HP 14s Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 H...,"₹41,490",4.4,"(3,689)","14 inch, Natural Silver, 1.46 kg, With MS Office",9% off,"₹45,892"
HP Pavilion Gaming Ryzen 5 Hexa Core 4600H - (8 GB/1 TB...,"₹53,990",4.3,(761),"15.6 inch, Shadow Black, 2.04 kg",20% off,"₹68,192"
ASUS VivoBook 15 (2021) Core i5 11th Gen - (8 GB/1 TB H...,"₹53,990",4.1,(96),"15.6 inch, Transparent Silver, 1.80 kg, With MS Office",23% off,"₹70,990"
ASUS ROG Strix G15 (2021) Ryzen 7 Octa Core 4800H - (8 ...,"₹67,990",4.3,(41),"15.6 inch, Plastic Grey, 2.10 Kg",25% off,"₹90,990"
ASUS ROG Strix G15 (2021) Ryzen 7 Octa Core 4800H - (8 ...,"₹67,990",4.6,(720),"15.6 inch, Eclipse Gray, 2.10 Kg",25% off,"₹90,990"
acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SS...,"₹54,990",4.5,"(1,883)","15.6 inch, Black, 2.15 kg",38% off,"₹89,000"
ASUS VivoBook 15 Ryzen 3 Dual Core - (4 GB/256 GB SSD/W...,"₹32,990",4.3,(762),"15.6 inch, Transparent Silver, 1.80 Kg, With MS Office",13% off,"₹37,990"
APPLE MacBook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur)...,"₹98,991",4.7,(462),"13.3 inch, Space Grey, 1.29 kg",16% off,"₹1,17,900"
ASUS VivoBook K15 OLED (2021) Core i5 11th Gen - (16 GB...,"₹68,990",4.4,(86),"15.6 inch, Transparent Silver, 1.80 Kg, With MS Office",18% off,"₹84,990"
Lenovo Thinkbook Core i3 11th Gen - (8 GB/512 GB SSD/Wi...,"₹47,990",4.6,(7),"15 inch, Mineral Grey, 1.7 kg",34% off,"₹72,850"
acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SS...,"₹54,990",4.5,"(1,883)","15.6 inch, Black, 2.15 kg",38% off,"₹89,000"
HP Core i5 11th Gen - (8 GB + 32 GB Optane/512 GB SSD/W...,"₹54,990",4.3,(452),"15.6 inch, Jet Black, 1.69 kg, With MS Office",7% off,"₹59,452"
APPLE MacBook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur)...,"₹83,990",4.7,"(3,484)","13.3 inch, Silver, 1.29 kg",9% off,"₹92,900"
Lenovo Thinkbook Convertible Core i7 11th Gen - (16 GB/...,"₹1,07,990",No rating available,No review available,"14 inch, Mineral Grey, 1.5 kg, With MS Office",1% off,"₹1,09,696"
acer Aspire 3 Ryzen 5 Quad Core 3500U - (8 GB/512 GB SS...,"₹43,990",4.4,(31),"15.6 inch, Pure Silver, 1.9 Kg",24% off,"₹57,999"
Lenovo IdeaPad 3 Celeron Dual Core 4th Gen - (4 GB/256 ...,"₹27,990",4.3,(4),"14 inch, Platinum Grey, 1.5 kg, With MS Office",28% off,"₹39,090"
ASUS ROG Strix G15 (2021) Ryzen 9 Octa Core R9-5900HX -...,"₹96,990",4.6,(409),"15.6 inch, Eclipse Grey, 2.10 kg",25% off,"₹1,29,990"
HP Pavilion Core i5 11th Gen - (8 GB/512 GB SSD/Windows...,"₹59,990",4.5,(112),"14 Inch, Natural Silver, 1.41 Kg, With MS Office",14% off,"₹69,999"
Lenovo APU Dual Core A9 A99425 - (4 GB/1 TB HDD/DOS) E4...,"₹21,896",3.9,(136),"14 inch, Black, 2.2 Kg",No discount available,No previous price available
ASUS VivoBook Ultra 14 Core i3 10th Gen - (4 GB/512 GB ...,"₹36,990",4.4,"(3,107)","14 inch, Bespoke Black, 1.40 kg",26% off,"₹49,990"
ASUS TUF Gaming A17 Ryzen 5 Hexa Core 4600H - (8 GB/512...,"₹62,990",4.6,(421),"17.3 inch, Gray Metal, 2.60 kg",23% off,"₹81,990"
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"₹1,41,990",4.2,(22),"15.6 inches, Moonlight White, 1.90 kg, With MS Office",25% off,"₹1,89,990"
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/...,"₹49,990",4.5,(50),"15.6 inch, Arctic Grey, 1.65 kg, With MS Office",33% off,"₹75,390"
ASUS VivoBook Ultra 14 Core i5 10th Gen - (8 GB + 32 GB...,"₹53,990",4.4,(287),"14 inch, Bespoke Black, 1.40 kg, With MS Office",21% off,"₹68,990"
ASUS ASUS TUF Gaming Core i5 11th Gen - (8 GB/1 TB SSD/...,"₹74,990",4.7,(3),"15.6 inch, Graphite Black, 2.30 kg",35% off,"₹1,16,990"
DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/256 GB SS...,"₹39,490",4.3,(207),"15.6 inches, Soft Mint, 1.83 kg, With MS Office",7% off,"₹42,472"
HP 14s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 H...,"₹54,990",4.3,(871),"14 inch, Natural Silver, 1.46 KG, With MS Office",12% off,"₹63,179"
MSI GF63 Thin Core i7 10th Gen - (16 GB/512 GB SSD/Wind...,"₹76,990",4.6,(83),"15.6 inch, Black, 1.86 kg",19% off,"₹95,990"
Lenovo Thinkbook Core i5 11th Gen - (8 GB/512 GB SSD/Wi...,"₹67,990",No rating available,No review available,"15 inch, Mineral grey, 1.7 kg, With MS Office",40% off,"₹1,15,167"
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Wi...,"₹44,490",4.5,(246),"15.6 inch, Arctic Grey, 1.65 Kg, With MS Office",30% off,"₹63,790"
ASUS ASUS TUF Gaming Core i7 11th Gen - (16 GB/1 TB SSD...,"₹89,990",4.6,(41),"15.6 inch, Graphite Black, 2.30 kg",34% off,"₹1,36,990"
Avita PURA APU Dual Core A6 - (4 GB/128 GB SSD/Windows ...,"₹18,990",3.6,(126),"14 inches, Ink Black, 1.34 kg",32% off,"₹27,990"
Lenovo Thinkbook Core i7 11th Gen - (16 GB/512 GB SSD/W...,"₹1,40,131",No rating available,No review available,"15 inch, Mineral grey, 1.7 kg, With MS Office",No discount available,No previous price available
acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/Windows...,"₹44,990",4.1,(68),"14 inch, Pure Silver, 1.55 kg",21% off,"₹56,999"
ASUS VivoBook Ultra 14 Core i3 10th Gen - (4 GB/512 GB ...,"₹37,990",4.4,"(3,107)","14 inch, Dreamy White, 1.40 kg",24% off,"₹49,990"
ASUS VivoBook Ultra 14 Core i5 11th Gen - (8 GB/512 GB ...,"₹56,990",4.5,(565),"14 inch, Dreamy White, 1.40 kg, With MS Office",22% off,"₹73,990"
MSI Bravo Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Wi...,"₹64,990",4.5,(55),"15.6 inch, Black, 2.35 Kg",22% off,"₹83,990"
ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC St...,"₹24,990",4.7,(38),"14 inch, Silver, 1.34 Kg",16% off,"₹29,990"
MSI GF63 Thin Hexa Core i5 10th Gen - (8 GB/1 TB HDD/25...,"₹56,990",4.4,"(1,168)","15.6 inch, Black, 1.86 KG",25% off,"₹76,990"
MSI Modern 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SS...,"₹47,990",4.6,(146),"14 inch, Carbon Grey, 1.3 Kg",22% off,"₹61,990"
